City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,Khani,41.9563,42.9566,40.57,70,100,4.25,GE,2022-12-08 15:42:41
227,Tuatapere,-46.1333,167.6833,53.96,91,97,3.91,NZ,2022-12-08 15:42:41
228,Dunedin,-45.8742,170.5036,55.8,96,82,4.0,NZ,2022-12-08 15:42:41
229,Fowa,8.9167,6.4,96.03,15,0,2.71,NG,2022-12-08 15:42:47
230,Baglung,28.2719,83.5898,53.2,80,0,2.46,NP,2022-12-08 15:42:47
231,Pisco,-13.7,-76.2167,70.02,78,20,10.36,PE,2022-12-08 15:42:48
232,Pangnirtung,66.1451,-65.7125,21.2,79,75,17.27,CA,2022-12-08 15:42:48
233,Wuwei,37.9281,102.6414,27.3,50,76,5.12,CN,2022-12-08 15:42:49
234,Bud,39.447,-86.1758,43.68,93,100,7.09,US,2022-12-08 15:42:49
235,Mahebourg,-20.4081,57.7,79.09,73,75,11.5,MU,2022-12-08 15:42:49
236,Narasannapeta,18.4167,84.05,71.6,49,99,11.23,IN,2022-12-08 15:42:50
237,Lima,-12.0432,-77.0282,68.25,73,100,9.22,PE,2022-12-08 15:42:50
238,Cooma,-36.2333,149.1333,35.11,86,3,6.42,AU,2022-12-08 15:42:50
239,Alvaraes,-3.2208,-64.8042,78.67,91,100,4.03,BR,2022-12-08 15:42:51
240,Te Anau,-45.4167,167.7167,52.83,95,100,2.3,NZ,2022-12-08 15:42:51
241,Vermillion,42.7794,-96.9292,15.96,68,34,6.2,US,2022-12-08 15:42:52
242,Gambela,8.25,34.5833,78.62,67,99,4.65,ET,2022-12-08 15:42:52
243,Saint Paul,44.9444,-93.0933,20.28,84,0,3.44,US,2022-12-08 15:39:55
244,Kousseri,12.0769,15.0306,89.56,12,1,11.5,CM,2022-12-08 15:42:53
245,Salinas,36.6777,-121.6555,46.81,85,0,5.75,US,2022-12-08 15:41:35
246,Codrington,-38.2667,141.9667,51.57,61,64,8.16,AU,2022-12-08 15:42:53
247,Ulladulla,-35.35,150.4667,50.5,67,0,8.41,AU,2022-12-08 15:42:53
248,Port Macquarie,-31.4333,152.9167,61.9,66,99,7.65,AU,2022-12-08 15:42:54
249,Galle,6.0367,80.217,74.88,66,100,12.95,LK,2022-12-08 15:42:54
250,Touros,-5.1989,-35.4608,86.41,57,100,13.71,BR,2022-12-08 15:42:55
251,Manokwari,-0.8667,134.0833,78.53,80,87,2.71,ID,2022-12-08 15:42:55
252,Boralday,43.3578,76.8594,22.86,93,100,4.47,KZ,2022-12-08 15:42:55
253,Sitka,57.0531,-135.33,35.49,80,100,8.05,US,2022-12-08 15:42:56
254,Valdivia,-39.8142,-73.2459,66.29,71,97,7.49,CL,2022-12-08 15:39:38
255,Miguel Alves,-4.1656,-42.8953,100.42,25,62,3.8,BR,2022-12-08 15:42:56
256,Wamba,8.9333,8.6,92.95,13,0,6.38,NG,2022-12-08 15:42:57
257,Maniwaki,46.3834,-75.966,28.78,80,8,8.05,CA,2022-12-08 15:42:57
258,Surgut,61.25,73.4167,8.78,92,75,8.99,RU,2022-12-08 15:42:47
259,Wakkanai,45.4094,141.6739,29.34,55,100,16.06,JP,2022-12-08 15:42:58
260,Bambous Virieux,-20.3428,57.7575,79.05,73,75,11.5,MU,2022-12-08 15:42:58
261,Ponta Do Sol,32.6667,-17.1,70.72,76,79,17.4,PT,2022-12-08 15:42:58
262,San Cristobal,7.7669,-72.225,71.78,45,71,2.98,VE,2022-12-08 15:41:17
263,Honda,5.2086,-74.7358,83.53,65,35,5.79,CO,2022-12-08 15:42:59
264,Kapaa,22.0752,-159.319,77.32,82,100,20.71,US,2022-12-08 15:42:59
265,Manitouwadge,49.1215,-85.8403,9.41,88,27,7.99,CA,2022-12-08 15:43:00
266,Oriximina,-1.7656,-55.8661,93.92,39,89,6.26,BR,2022-12-08 15:43:00
267,Trairi,-3.2778,-39.2689,88.7,51,81,16.11,BR,2022-12-08 15:41:41
268,Pleasanton,37.6624,-121.8747,47.88,92,50,3.15,US,2022-12-08 15:41:06
269,Kaitangata,-46.2817,169.8464,53.73,94,74,1.92,NZ,2022-12-08 15:43:01
270,Talcahuano,-36.7167,-73.1167,60.48,100,100,10.36,CL,2022-12-08 15:43:01
271,Bhavnagar,21.7667,72.15,74.89,40,78,10.18,IN,2022-12-08 15:43:02
272,Aborlan,9.4352,118.5492,80.67,83,100,3.85,PH,2022-12-08 15:43:02
273,North Aurora,41.8061,-88.3273,39.94,80,100,8.05,US,2022-12-08 15:43:03
274,Lodwar,3.1191,35.5973,87.58,37,74,15.88,KE,2022-12-08 15:43:04
275,Kodiak,57.79,-152.4072,31.51,55,0,21.85,US,2022-12-08 15:43:05
276,Takoradi,4.8845,-1.7554,82.99,69,49,9.42,GH,2022-12-08 15:43:05
277,Jiazi,22.8779,116.067,63.41,83,9,10.54,CN,2022-12-08 15:43:10
278,Chail,25.4333,81.6333,61.83,36,2,6.4,IN,2022-12-08 15:43:11
279,Mana,5.6592,-53.7767,85.64,63,90,7.25,GF,2022-12-08 15:43:11
280,Nordfjordeid,61.9063,5.9915,32.95,93,40,6.91,NO,2022-12-08 15:43:12
281,Saint-Pierre,-21.3393,55.4781,83.57,73,75,19.57,RE,2022-12-08 15:43:12
282,Puerto Leguizamo,-0.1934,-74.7819,87.67,45,85,4.12,CO,2022-12-08 15:43:13
283,Outjo,-20.1167,16.15,91.63,9,0,10.92,NA,2022-12-08 15:43:13
284,San Vicente,-26.6167,-54.1333,95.88,27,15,5.08,AR,2022-12-08 15:43:14
285,Zhigalovo,54.8097,105.1578,8.51,89,100,7.05,RU,2022-12-08 15:43:15
286,Berlevag,70.8578,29.0864,32.0,69,75,32.21,NO,2022-12-08 15:43:15
287,Tocopilla,-22.092,-70.1979,71.71,66,83,5.53,CL,2022-12-08 15:43:16
288,El Colorado,-26.3081,-59.3729,107.58,25,75,5.57,AR,2022-12-08 15:43:16
289,Nanjing,32.0617,118.7778,48.11,89,100,1.12,CN,2022-12-08 15:43:17
290,Baghdad,33.3406,44.4009,60.71,67,75,3.44,IQ,2022-12-08 15:43:17
291,Beruwala,6.4788,79.9828,73.29,63,100,8.55,LK,2022-12-08 15:43:18
