City_ID,City,Country,Lat,Lng,Cloudiness,Humidity,Max_Temp,Wind Speed,Description
243,Estelle,US,29.8458,-90.1067,100,86,70.0,8.05,overcast clouds
244,Lasa,IT,46.6166,10.7002,74,94,34.68,7.87,broken clouds
245,Lisakovsk,KZ,52.5369,62.4936,42,77,3.63,9.8,scattered clouds
246,Tautira,PF,-17.7333,-149.15,100,74,77.52,2.8,moderate rain
247,Acajutiba,BR,-11.6622,-38.0172,94,97,72.1,4.85,overcast clouds
248,Altamont,US,42.2068,-121.7372,100,95,35.78,3.44,overcast clouds
249,Fare,PF,-16.7,-151.0167,100,73,76.6,8.34,light rain
250,Tikapur,NP,28.5,81.1333,0,38,55.81,3.27,clear sky
251,Saint-Denis,FR,48.9167,2.3333,100,94,30.97,9.22,mist
252,Airai,TL,-8.9266,125.4092,10,37,78.42,0.81,clear sky
253,Severo-Kurilsk,RU,50.6789,156.125,100,96,28.31,5.7,snow
254,Riyadh,SA,24.6877,46.7219,0,48,50.14,4.61,clear sky
255,Pokhara,NP,28.2333,83.9833,0,22,59.31,4.7,clear sky
256,Halifax,CA,44.6453,-63.5724,36,78,27.45,8.99,scattered clouds
257,Srandakan,ID,-7.9386,110.2506,59,71,82.99,5.32,broken clouds
258,Udachnyy,RU,66.4167,112.4,57,100,-44.95,3.49,broken clouds
259,Botwood,CA,49.1499,-55.3482,100,93,27.9,11.21,light snow
260,Santona,ES,43.4439,-3.4576,100,70,42.33,4.29,overcast clouds
261,Tura,IN,25.5198,90.2201,9,73,64.06,2.1,clear sky
262,Maceio,BR,-9.6658,-35.7353,20,94,76.44,2.3,few clouds
263,Nioro,GM,13.35,-15.75,0,68,72.72,2.13,clear sky
264,Bull Savanna,JM,17.8868,-77.5902,0,76,71.73,6.49,clear sky
265,Lavrentiya,RU,65.5833,-171.0,100,97,28.45,29.37,snow
266,Longyearbyen,SJ,78.2186,15.6401,75,74,31.84,13.8,light snow
267,Shingu,JP,33.7333,135.9833,95,54,61.39,6.44,overcast clouds
268,Cabo San Lucas,MX,22.8909,-109.9124,0,68,73.71,3.44,clear sky
269,Gizo,SB,-8.103,156.8419,100,70,84.13,5.21,overcast clouds
270,Qaanaaq,GL,77.484,-69.3632,99,85,-7.11,3.27,overcast clouds
271,Ixtapa,MX,20.7,-105.2,0,88,76.23,5.75,clear sky
272,Dejen,ET,10.1667,38.1333,27,61,51.37,1.97,scattered clouds
273,Udaipur,IN,24.5712,73.6918,0,55,49.1,5.35,clear sky
274,Panama City,PA,8.9936,-79.5197,0,82,78.17,4.61,clear sky
275,Uribia,CO,11.7139,-72.266,5,74,75.85,10.63,clear sky
276,Zhanaozen,KZ,43.3,52.8,0,39,19.36,17.67,clear sky
277,Teguldet,RU,57.3064,88.1667,100,96,-12.77,3.4,overcast clouds
278,Tasiilaq,GL,65.6145,-37.6368,14,62,24.96,7.07,few clouds
279,San Juan De Colon,VE,8.0313,-72.2605,88,96,69.39,1.72,overcast clouds
280,Monrovia,LR,6.3005,-10.7969,9,82,78.91,4.54,clear sky
281,Isangel,VU,-19.55,169.2667,75,74,86.11,0.0,light intensity shower rain
282,Yulara,AU,-25.2406,130.9889,48,19,100.53,8.97,scattered clouds
283,Falakata,IN,26.5208,89.2055,0,63,64.22,2.71,clear sky
284,Nacala,MZ,-14.5428,40.6728,100,86,74.84,3.96,overcast clouds
285,Port Blair,IN,11.6667,92.75,75,89,80.64,2.3,broken clouds
286,Moindou,NC,-21.6924,165.677,26,64,84.34,6.06,scattered clouds
287,Sistranda,NO,63.7256,8.834,79,76,19.36,17.58,broken clouds
288,Mount Pleasant,US,32.7941,-79.8626,100,81,54.0,8.05,overcast clouds
289,Ginda,IN,30.6945,78.4932,0,15,45.0,8.34,clear sky
290,College,US,64.8569,-147.8028,75,85,3.18,4.61,broken clouds
291,Kalmunai,LK,7.4167,81.8167,88,81,76.48,6.11,overcast clouds
292,Lindi,TZ,-10.0,39.7167,100,88,74.32,2.73,overcast clouds
293,Kropotkin,RU,45.4375,40.5756,87,63,39.0,9.1,overcast clouds
294,Geraldton,AU,-28.7667,114.6,0,29,81.01,13.8,clear sky
295,Alofi,NU,-19.0595,-169.9187,99,89,78.69,11.5,overcast clouds
296,Nantucket,US,41.2835,-70.0995,75,82,42.91,18.41,broken clouds
297,Fairbanks,US,64.8378,-147.7164,75,85,3.2,4.61,broken clouds
298,Road Town,VG,18.4167,-64.6167,0,70,78.89,10.31,clear sky
299,Ostersund,SE,63.1792,14.6357,100,92,12.65,6.91,overcast clouds
300,Gedo,ET,9.0167,37.45,40,59,51.3,2.89,scattered clouds
301,Coquimbo,CL,-29.9533,-71.3436,100,88,62.33,0.0,overcast clouds
302,Ligaya,PH,12.6599,120.8923,100,82,80.29,4.76,overcast clouds
303,Veydelevka,RU,50.1521,38.4492,100,92,38.64,17.25,overcast clouds
304,Krasnoslobodsk,RU,48.7072,44.5714,100,80,30.02,15.66,overcast clouds
305,Paso Del Toro,MX,19.0333,-96.1167,0,77,73.62,3.44,clear sky
306,Aberdeen,GB,57.1437,-2.0981,20,88,36.75,5.75,few clouds
307,Old Saybrook,US,41.2918,-72.3762,0,72,36.18,5.75,clear sky
308,Lishu,CN,43.3047,124.3278,0,48,18.61,4.9,clear sky
309,Mayo,US,38.8876,-76.5119,100,77,43.95,10.36,overcast clouds
310,Chimbote,PE,-9.0853,-78.5783,84,83,66.72,6.15,broken clouds
311,Greenfield,US,42.9614,-88.0126,100,93,36.88,3.44,light rain
312,Adeje,ES,28.1227,-16.726,75,97,68.88,5.75,broken clouds
313,Murray Bridge,AU,-35.1167,139.2667,90,50,67.12,14.5,overcast clouds
314,Iqaluit,CA,63.7506,-68.5145,20,77,-9.67,23.02,few clouds
315,Narsaq,GL,60.9167,-46.05,0,62,25.02,9.98,clear sky
316,Marzuq,YE,14.4,46.4667,1,77,58.5,2.28,clear sky
317,Svetlaya,RU,46.5389,138.3297,0,50,19.89,6.91,clear sky
318,Saint-Augustin,CA,51.226,-58.6502,11,76,10.35,14.27,few clouds
319,Faya,SA,18.3851,42.4509,1,81,51.91,3.51,clear sky
320,Lensk,RU,60.7253,114.9278,100,100,-9.6,2.26,overcast clouds
321,Husavik,IS,66.0449,-17.3389,84,83,21.61,7.4,broken clouds
322,Aklavik,CA,68.2191,-135.0107,55,99,-12.01,9.31,broken clouds
323,Oyama,JP,36.3,139.8,57,61,53.58,7.74,broken clouds
324,Paamiut,GL,61.994,-49.6678,0,58,21.92,14.25,clear sky
325,Ancud,CL,-41.8697,-73.8203,5,91,54.39,7.25,clear sky
326,Sumenep,ID,-7.0167,113.8667,35,67,84.81,4.25,scattered clouds
327,Mbekenyera,TZ,-10.0,38.9833,93,88,70.99,0.78,overcast clouds
328,Waycross,US,31.2136,-82.354,100,99,57.45,5.75,overcast clouds
329,Luderitz,NA,-26.6481,15.1594,15,97,61.45,7.72,few clouds
330,Krasnyy,RU,54.5678,31.4333,100,96,25.63,8.39,overcast clouds
331,Raahe,FI,64.6833,24.4833,100,89,23.09,15.99,overcast clouds
332,Mount Gambier,AU,-37.8333,140.7667,100,49,68.74,8.75,overcast clouds
333,Arlit,NE,18.7369,7.3853,52,15,67.06,7.09,broken clouds
334,Constitucion,CL,-35.3333,-72.4167,0,71,58.48,15.95,clear sky
335,Bathsheba,BB,13.2167,-59.5167,20,89,73.06,5.75,few clouds
336,Talnakh,RU,69.4865,88.3972,98,97,-27.13,5.84,overcast clouds
337,Okhotsk,RU,59.3833,143.3,69,83,-21.68,11.61,broken clouds
338,Riachao Das Neves,BR,-11.7461,-44.91,100,81,72.21,2.57,overcast clouds
339,Brikama,GM,13.2714,-16.6494,0,83,75.09,7.47,clear sky
340,Makakilo City,US,21.3469,-158.0858,75,61,79.12,21.85,broken clouds
341,Bambous Virieux,MU,-20.3428,57.7575,75,88,76.21,4.61,broken clouds
342,Kresttsy,RU,58.2452,32.5165,91,99,8.67,3.51,overcast clouds
343,Zhuanghe,CN,39.7008,122.9911,0,40,27.82,6.85,clear sky
344,Anan,JP,33.9167,134.65,99,71,56.98,17.45,overcast clouds
345,Dzhebariki-Khaya,RU,62.2167,135.8,100,98,-20.69,0.96,overcast clouds
346,Tonantins,BR,-2.8731,-67.8022,63,98,72.81,2.3,broken clouds
347,Hobyo,SO,5.3505,48.5268,26,70,77.11,15.79,scattered clouds
348,Lysyanka,UA,49.2523,30.8295,100,94,47.48,11.7,overcast clouds
